Current(A),Radius(m),MagneticField(T)
4.2629285392,0.8693207684,9.807492686205346e-7
2.2810161584,0.2048463043,2.227051316695382e-6
0.8211352907,1.9657415488,8.354458307871703e-8
0.0730811531,1.7442368979,8.379727912322427e-9
4.7896578772,1.2978889653,7.380689727916633e-7
0.4771610445,1.0102972495,9.445953549156111e-8
2.8839132285,0.3828141624,1.506690980406968e-6
2.4012981736,1.6237690465,2.957684380944809e-7
4.1081793502,1.4507797296,5.663408808858188e-7
3.5228809137,1.0854040746,6.491372192600156e-7
