Current(A),Radius(m),MagneticField(T)
94.1475165244,13.8192253841,1.362558521301667e-6
44.9451392264,13.8961799519,6.468704260012966e-7
33.9371639658,2.6443735497,2.566745078056883e-6
89.1220897544,17.1810186021,1.037448265652977e-6
17.7530473378,6.8909252799,5.152587386095620e-7
36.3811875050,16.9092287177,4.303116140002127e-7
140.2684098887,11.8360491891,2.370189708539446e-6
57.6740760210,18.4857961096,6.239826045786914e-7
130.1790174698,2.0958844496,1.242234680395398e-5
48.2737646408,16.8646010879,5.724862911264330e-7
