Current(A),Radius(m),MagneticField(T)
24.512053,0.96035045,5.104814068166679E-6
29.810266,3.755079,1.5877304444847832E-6
33.956524,3.2069385,2.1176909903630805E-6
34.789524,8.941748,7.781370125879603E-7
40.21791,9.064526,8.873693455673761E-7
17.762339,9.259762,3.8364569202077456E-7
27.088356,1.9394085,2.7934656828860005E-6
5.543167,7.398601,1.4984365484615194E-7
48.868355,9.688358,1.0088056871851309E-6
12.946093,4.2825556,6.045965948757234E-7
16.290977,9.097364,3.5814718891723253E-7
31.447063,2.9156203,2.1571439295353554E-6
39.195076,7.5827546,1.0337951837951367E-6
6.0045795,0.68794024,1.7456689391756276E-6
19.247389,0.94312674,4.081612377797669E-6
38.870953,7.6489816,1.0163693622317253E-6
49.343445,0.92215043,1.070182110315629E-5
23.33754,9.590516,4.866795374282111E-7
3.7098331,6.5864596,1.126502962069911E-7
13.531185,6.432875,4.206885668122755E-7
