Current(A),Radius(m),MagneticField(T)
4.1969745408,0.7959335456,1.054604260325540e-6
3.9199774436,4.1985632507,1.867294695607866e-7
14.1417694978,1.7915626767,1.578707759621134e-6
39.1844432146,0.1103515520,7.101747553013509e-5
4.3900958300,7.7744108934,1.129370672628864e-7
41.1224485363,4.8262434951,1.704118268312994e-6
47.1683045971,1.5238342035,6.190739712719095e-6
39.6463162615,9.8957548300,8.012792746513772e-7
1.2114834413,6.3370521667,3.823492088970447e-8
25.7645437466,9.6702021427,5.328646364679761e-7
11.4967304916,3.5783366334,6.425740040335545e-7
3.9497879671,3.2025425287,2.466657620804686e-7
20.9254327864,8.3552912066,5.008905678805915e-7
21.9194996867,6.7331982896,6.510873063290097e-7
41.7512121060,4.9984200358,1.670576374413020e-6
3.1738264961,8.4666959671,7.497201998046570e-8
44.1709945595,8.8620273047,9.968598164039575e-7
39.9689125915,4.5015450170,1.775786421778362e-6
30.8717735473,0.0142284378,4.339446669290606e-4
11.5175821992,5.7243566032,4.024061740912325e-7
