Current(A),Radius(m),MagneticField(T)
7.8079019007,4.4343892498,3.521523015176442e-7
0.8276785753,3.4813046830,4.754990732688271e-8
1.4833521467,2.9996994274,9.890005199756217e-8
2.6967853595,0.9325329559,5.783785640027654e-7
14.2282693698,4.3803675142,6.496381558632376e-7
13.2552676322,0.9257945575,2.863544082072346e-6
13.0142123867,2.3282260913,1.117950909967255e-6
12.2985675430,0.8595252886,2.861711622919971e-6
2.5893613752,2.1399881053,2.419977352976786e-7
0.7299869727,4.6852005752,3.116139686830768e-8
11.5525445068,0.2244316740,1.029493235358413e-5
1.3939240871,4.9529735221,5.628635327388185e-8
13.7701821423,1.6607564377,1.658302425344001e-6
12.7389092458,3.7968928152,6.710175854823419e-7
6.2640370936,1.8600498264,6.735343327515685e-7
7.1216266721,0.0530596916,2.684382987074542e-5
10.9120072502,0.8652760041,2.522202672549590e-6
13.1844028235,4.4423957579,5.935717366039019e-7
0.5584109665,3.7141513090,3.006937090220830e-8
2.3716907938,1.3866510965,3.420746285420018e-7
