Current(A),Radius(m),MagneticField(T)
23.619808,45.68855,1.0339487111065321E-7
195.04619,25.378521,1.5370965756361919E-6
178.17117,26.503916,1.3444894296322924E-6
46.00441,21.419853,4.2954925356441556E-7
54.982628,46.553265,2.3621384373326069E-7
82.12506,19.994284,8.214854041820844E-7
122.334076,10.539981,2.3213339231527125E-6
136.44788,49.929073,5.465668271650299E-7
83.70671,40.37473,4.146490270732417E-7
100.90869,48.609627,4.151798650241291E-7
70.52405,23.285824,6.057251690177925E-7
20.355444,34.53677,1.1787694120144601E-7
140.04459,17.15505,1.6326922266570621E-6
10.0293865,13.544547,1.480948231109101E-7
194.76952,40.27777,9.67131552588152E-7
135.62885,5.6674304,4.786255344028248E-6
24.299278,42.716763,1.1376928780580503E-7
82.768364,6.6476936,2.490137738264589E-6
11.393389,2.9525037,7.717781231422148E-7
86.59115,26.638178,6.501281641222514E-7
141.05756,16.628319,1.6965943215598757E-6
192.48839,28.782671,1.3375297117526769E-6
104.80328,43.846977,4.780410888183645E-7
75.32389,22.045513,6.833489441866284E-7
101.79482,7.6960545,2.6453768808478127E-6
157.25827,45.914043,6.85011637083834E-7
4.4188614,39.462555,2.2395211849890457E-8
33.21178,19.411932,3.421790325919782E-7
77.88283,45.34304,3.4352715194146997E-7
38.20056,13.238395,5.771177288733904E-7
21.76764,25.363626,1.7164453338116064E-7
172.22617,41.787754,8.242901282944612E-7
136.0314,7.695049,3.5355565887478176E-6
136.0936,11.305751,2.407510996049832E-6
104.78057,20.581028,1.0182248531238827E-6
125.47849,1.5034628,1.6691931912248375E-5
38.19563,9.694026,7.88024070620112E-7
80.75919,0.57666075,2.800925608299202E-5
16.318531,20.890606,1.5622841284527805E-7
96.57504,7.7678556,2.4865303153874797E-6
37.979485,7.0593047,1.0760120463901527E-6
57.767242,13.360262,8.647621250245375E-7
193.961,33.037193,1.1741978005432018E-6
87.304214,13.307353,1.312119913677815E-6
55.567398,44.416927,2.502082039528735E-7
66.98849,14.578641,9.189949533627447E-7
98.08827,34.47435,5.690507415756397E-7
123.18756,37.74175,6.527920137241879E-7
63.21484,38.417377,3.290950298806907E-7
157.5266,25.302807,1.2451313957122433E-6
105.288246,5.690144,3.7007233914213555E-6
46.425808,17.891706,5.189645609193717E-7
163.32927,49.16201,6.644531774368486E-7
33.56103,15.505566,4.32890126211316E-7
54.11933,44.68933,2.422024679386498E-7
95.7712,47.71338,4.0144380583726476E-7
91.17268,5.75852,3.1665317378589743E-6
75.63162,34.97665,4.32469214746035E-7
0.26043394,35.702183,1.4589244795420251E-9
142.85738,33.05534,8.643527908398353E-7
124.2169,14.325759,1.734175540138841E-6
71.896484,13.845364,1.0385640473467404E-6
188.07945,6.690361,5.622400700634836E-6
104.51787,48.933308,4.2718497099958037E-7
30.18309,39.26819,1.5372794814803302E-7
3.8941374,26.65612,2.9217585594888882E-8
95.6515,22.720045,8.420009424231188E-7
100.62489,49.517788,4.0641917738295E-7
135.79645,11.1403055,2.4379304054280215E-6
81.34146,26.442118,6.152416544852104E-7
60.257984,24.772728,4.86486464012595E-7
176.97911,43.53012,8.13134019678981E-7
48.287643,26.921364,3.5873103410750386E-7
70.49838,17.742502,7.946836553707137E-7
41.398075,36.06392,2.2958167705739616E-7
62.782143,10.242114,1.225960621566748E-6
11.671894,21.02065,1.110516905418127E-7
10.630784,0.008338599,2.549777157585937E-4
128.34344,20.440107,1.2558001056874619E-6
82.22268,43.774647,3.756634729266725E-7
129.83733,47.8337,5.428696953749555E-7
63.102825,25.342676,4.979965395889969E-7
49.26779,39.924286,2.4680612640350887E-7
189.70775,25.89054,1.4654600058537955E-6
138.47351,29.169703,9.494338216182552E-7
87.62986,27.020039,6.486286804116988E-7
188.98238,20.980324,1.8015201097626744E-6
148.27017,39.976986,7.417776436351824E-7
57.871662,32.370453,3.575585571996248E-7
190.22324,37.730637,1.0083224310120657E-6
72.308655,1.5665692,9.231466361674823E-6
120.683586,1.4128822,1.7083318816936893E-5
108.62767,7.441136,2.9196529129758277E-6
137.35837,28.99463,9.4747450866317E-7
120.119446,43.548897,5.516532204306171E-7
192.81615,42.01636,9.178145902018433E-7
122.27916,24.013258,1.0184303991234855E-6
180.89697,15.691762,2.3056298329798733E-6
135.0798,7.543605,3.5813064480180448E-6
198.7544,48.767815,8.151047817656026E-7
128.90791,11.46006,2.2496899992210867E-6
88.29522,32.151627,5.492426280997149E-7
24.11878,49.760414,9.693962785852682E-8
67.228264,19.503782,6.893869395817301E-7
53.73891,17.98469,5.976073152668897E-7
22.628534,48.749954,9.283509975501405E-8
114.66348,12.91591,1.775538614517733E-6
158.86867,10.776926,2.948311364545018E-6
104.767136,17.001488,1.2324466808082322E-6
166.96472,10.456163,3.193613473521997E-6
71.66652,45.78772,3.130381665346994E-7
113.82884,15.577508,1.4614512457634138E-6
83.44352,1.6306541,1.0234361752881332E-5
37.61638,41.277542,1.8226074934430988E-7
72.45821,48.47977,2.989214380312166E-7
179.30072,21.111591,1.698599762895858E-6
100.45117,20.626642,9.739944172073626E-7
